name,description,price,category,images,link
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw239f3659/img/lipikarbalmapset/lipikar-balm-ap-body-cream-3337872418570-5.jpg?sw=465&sfrm=jpg&q=70,
ANTHELIOS AOX ANTIOXIDANT SERUM WITH SPF 50 SUNSCREEN,"This innovative serum provides advanced protection to help visibly improve the appearance of fine lines, dark spots, and skin texture. Our unique serum texture feels weightless on skin and can be worn alone, with a moisturizer, or under make-up. It is formulated with Cell-Ox Shield® Technology and a potent antioxidant complex.",50000,face sunscreen,,https://www.laroche-posay.us/our-products/sun/face-sunscreen/anthelios-aox-antioxidant-serum-with-spf-50-sunscreen-3606000403703.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw0ec19573/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwf7a84e49/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw65e72064/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-5.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwea218164/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-2.jpg?sw=465&sfrm=jpg&q=70,
CICAPLAST BAUME B5 FOR DRY SKIN IRRITATIONS,"This multi-purpose soothing cream for cracked, chapped, chafed skin and dry skin irritations helps to hydrate and soothe. Non-greasy, skin protectant helps to protect & relieve dry, rough skin. Hydrating therapeutic cream protects chafed skin due to diaper rash and helps seal out wetness, while helping to treat & prevent diaper rash. Suitable for adults, children and babies 1 week and up.",80000,dry skin,,https://www.laroche-posay.us/our-products/dry-skin-eczema/body-lotion/cicaplast-baume-b5-for-dry-skin-irritations-3606000437449.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw40d31888/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwe9eed152/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw3b86abbe/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwef12d068/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-5.jpg?sw=465&sfrm=jpg&q=70,
